EVENTNAME,CLASS,ORIGIN,YEAR,WG,SYSSTART,SYSEND,SYSTEMID,EVENTID,EVENTTYPE,DOCTIT,DRAFTDATE,PROMDATE,INFORCEDATE,AMENDEVTCOUNT,REINFROM,LENGTH,PROMUL,NOTES,WGCODE,ISOCODE,COWCODE,CNTRY,CNTRYOFFNAME,CNTRYWGNAME,CNTRYONTNAME,CNTRYLISTNAME,CNTRYABRNAME,CNTRYREGION,CNTRYFORMERLY,CNTRYCURRENT,CNTRYSTART1,CNTRYEND1,CNTRYSTART2,CNTRYEND2
"Afghanistan 1923-1930, event of 1923",constitution,"Afghanistan",1923,1,1923,1930,819,1,New,"Constitution",,"1923-04-09",,,,3190,"loya jirga (approve)",,700,4,700,"Afghanistan","Islamic Republic of Afghanistan","Afghanistan","Afghanistan",,"AFG",Eastern_Europe,,1,01/1816,12/1888,,
"Afghanistan 1931-1963, event of 1931",constitution,"Afghanistan",1931,1,1931,1963,820,2,New,"",,,"1931-10-31",,,4462,"not specified",,700,4,700,"Afghanistan","Islamic Republic of Afghanistan","Afghanistan","Afghanistan",,"AFG",Eastern_Europe,,1,01/1816,12/1888,,
"Afghanistan 1964-1972, event of 1964",constitution,"Afghanistan",1964,1,1964,1972,821,3,New,"Constitution",,,"1964-10-01",,,10068,"king (sign; proclaim)",,700,4,700,"Afghanistan","Islamic Republic of Afghanistan","Afghanistan","Afghanistan",,"AFG",Eastern_Europe,,1,01/1816,12/1888,,
"Afghanistan 1977-1977, event of 1977",constitution,"Afghanistan",1977,1,1977,1977,823,4,New,"Constitution","1977-02-14","1977-02-24",,,,8317,"president (sign and proclaim)",,700,4,700,"Afghanistan","Islamic Republic of Afghanistan","Afghanistan","Afghanistan",,"AFG",Eastern_Europe,,1,01/1816,12/1888,,
"Afghanistan 1987-1989, event of 1987",constitution,"Afghanistan",1987,1,1987,1989,828,5,New,"Constitution",,,,,,8430,"endorsed by loya jirga; signed and proclaimed by president",,700,4,700,"Afghanistan","Islamic Republic of Afghanistan","Afghanistan","Afghanistan",,"AFG",Eastern_Europe,,1,01/1816,12/1888,,
"Afghanistan 1990-2000, event of 1990",constitution,"Afghanistan",1990,1,1990,2000,829,6,New,"Constitution",,"1987-11-30",,,,8456,"loya jirga approves; president signs",,700,4,700,"Afghanistan","Islamic Republic of Afghanistan","Afghanistan","Afghanistan",,"AFG",Eastern_Europe,,1,01/1816,12/1888,,
"Afghanistan 2004-?, event of 2004",constitution,"Afghanistan",2004,1,2004,,831,7,New,"Constitution",,"2004-01-03","2004-01-04",,,10390,"The Afghan National Assembly (Loya Jirga) approved the constitution before it was formally signed by transitional president Hamid Karzai.",,700,4,700,"Afghanistan","Islamic Republic of Afghanistan","Afghanistan","Afghanistan",,"AFG",Eastern_Europe,,1,01/1816,12/1888,,
"Albania 1914-1919, event of 1914",constitution,"Albania",1914,1,1914,1919,434,8,New,"Fundamental Law",,"1914-04-10",,,,7322,"not specified",,339,8,339,"Albania","Republic of Albania","Albania","Albania",,"ALB",Eastern_Europe,,1,,,,
"Albania 1928-1938, event of 1928",constitution,"Albania",1928,1,1928,1938,437,9,New,"",,"1928-12-01","1928-12-13",,,8990,"constituent assembly (approves and decrees)",,339,8,339,"Albania","Republic of Albania","Albania","Albania",,"ALB",Eastern_Europe,,1,,,,
"Albania 1946-1975, event of 1946",constitution,"Albania",1946,1,1946,1975,440,10,New,"Constitution",,,"1946-03-15",,,4748,"not specified",,339,8,339,"Albania","Republic of Albania","Albania","Albania",,"ALB",Eastern_Europe,,1,,,,
"Albania 1946-1975, event of 1950",constitution,"Albania",1950,1,1946,1975,440,11,Amendment,"Constitution",,,,,,,"not specified",,339,8,339,"Albania","Republic of Albania","Albania","Albania",,"ALB",Eastern_Europe,,1,,,,
"Albania 1946-1975, event of 1953",constitution,"Albania",1953,1,1946,1975,440,12,Amendment,"Constitution",,,,,,,"not specified",,339,8,339,"Albania","Republic of Albania","Albania","Albania",,"ALB",Eastern_Europe,,1,,,,
"Albania 1946-1975, event of 1954",constitution,"Albania",1954,1,1946,1975,440,13,Amendment,"Constitution",,,,,,,"not specified",,339,8,339,"Albania","Republic of Albania","Albania","Albania",,"ALB",Eastern_Europe,,1,,,,
"Albania 1946-1975, event of 1958",constitution,"Albania",1958,1,1946,1975,440,14,Amendment,"Constitution",,,,,,,"not specified",,339,8,339,"Albania","Republic of Albania","Albania","Albania",,"ALB",Eastern_Europe,,1,,,,
"Albania 1976-1990, event of 1976",constitution,"Albania",1976,1,1976,1990,441,15,New,"Constitution",,"1976-12-28",,,,7518,"peoples assembly (approve)",,339,8,339,"Albania","Republic of Albania","Albania","Albania",,"ALB",Eastern_Europe,,1,,,,
"Albania 1991-1997, event of 1991",constitution,"Albania",1991,1,1991,1997,442,16,Interim,"Constitution",,"1991-04-29","1991-04-29",,,3954,"not specified",,339,8,339,"Albania","Republic of Albania","Albania","Albania",,"ALB",Eastern_Europe,,1,,,,
"Albania 1998-?, event of 1998",constitution,"Albania",1998,1,1998,,443,17,New,"Constitution",,"1998-10-21","1998-11-28",,,13747,"The Albanian Parliament approved the constitution and it was signed by President Rexhep Meidani following approval of 91.1% of voters in a popular referendum.",,339,8,339,"Albania","Republic of Albania","Albania","Albania",,"ALB",Eastern_Europe,,1,,,,
"Algeria 1963-1964, event of 1963",constitution,"Algeria",1963,1,1963,1964,749,18,New,"Constitution","1963-09-10",,,,,3594,"National Liberation Front (propose); National Constituent Assembly (adopt); people (approve); president (promulgate)",,615,12,615,"Algeria","People's Democratic Republic of Algeria","Algeria","Algeria",,"ALG",MiddleEast_NorthAfrica,,1,01/1816,07/1830,,
"Algeria 1976-1988, event of 1976",constitution,"Algeria",1976,1,1976,1988,1021,19,New,"Constitution",,"1976-11-19","1976-11-22",,,9104,"na",,615,12,615,"Algeria","People's Democratic Republic of Algeria","Algeria","Algeria",,"ALG",MiddleEast_NorthAfrica,,1,01/1816,07/1830,,
"Algeria 1989-1995, event of 1989",constitution,"Algeria",1989,1,1989,1995,1022,20,New,"Constitution",,"1989-02-23",,,,7409,"referendum (adopt); president (publish)",,615,12,615,"Algeria","People's Democratic Republic of Algeria","Algeria","Algeria",,"ALG",MiddleEast_NorthAfrica,,1,01/1816,07/1830,,
"Algeria 1996-2019, event of 1996",constitution,"Algeria",1996,1,1996,2019,1023,21,Reinstated,"Constitution",,"1996-11-28","1996-11-28",,20,10013,"President Liamine Z?roual signed the constitution after it was approved by 85% of voters in a popular referendum.","1989 reinstated and amended in 1996",615,12,615,"Algeria","People's Democratic Republic of Algeria","Algeria","Algeria",,"ALG",MiddleEast_NorthAfrica,,1,01/1816,07/1830,,
"Algeria 1996-2019, event of 2002",constitution,"Algeria",2002,1,1996,2019,1023,22,Amendment,"Constitution",,,,,,10038,"President Liamine Z?roual signed the constitution after it was approved by 85% of voters in a popular referendum.",,615,12,615,"Algeria","People's Democratic Republic of Algeria","Algeria","Algeria",,"ALG",MiddleEast_NorthAfrica,,1,01/1816,07/1830,,
"Andorra 1993-?, event of 1993",constitution,"Andorra",1993,1,1993,,371,23,New,"Constitution",,"1993-02-02","1993-04-28",,,8770,"The consell approved the constitution before it was ratified by 74.19% of voters in a popular referendum.",,232,20,232,"Andorra","Principat d'Andorra","Andorra","Andorra",,"AND",WesternEurope_United_States_Canada,,1,09/1278,,,
"Angola 1975-2009, event of 1975",constitution,"Angola",1975,1,1975,2009,700,24,New,"",,,,,,,"not specified",,540,24,540,"Angola","Republic of Angola","Angola","Angola",,"ANG",SubSaharan_Africa,,1,,,,
"Angola 1975-2009, event of 1980",constitution,"Angola",1980,1,1975,2009,700,25,Amendment,"",,,,,,,"not specified",,540,24,540,"Angola","Republic of Angola","Angola","Angola",,"ANG",SubSaharan_Africa,,1,,,,
"Angola 1975-2009, event of 1992",constitution,"Angola",1992,1,1975,2009,700,26,Amendment,"",,,,,,12181,"not specified",,540,24,540,"Angola","Republic of Angola","Angola","Angola",,"ANG",SubSaharan_Africa,,1,,,,
"Antigua and Barbuda 1981-?, event of 1981",constitution,"Antigua and Barbuda",1981,1,1981,,84,27,New,"Constitution",,"1981-07-31","1981-10-31",,,36386,"The constitution was proposed by the legislature of Antigua and Barbuda and was promulgated by Queen Elizabeth II.",,58,28,58,"Antigua and Barbuda","Antigua and Barbuda","Antigua & Barbuda","Antigua_and_Barbuda",,"AAB",Latin_Caribbean,,1,,,,
"Argentina 1819-1825, event of 1819",constitution,"Argentina",1819,1,1819,1825,303,32,New,"Constitution",,"1819-04-22",,,,6103,"sovereign general constituent congress (sanction promulgate and sign)",,160,32,160,"Argentina","Argentine Nation","Argentina","Argentina",,"ARG",Latin_Caribbean,,1,07/1816,,,
"Argentina 1826-1852, event of 1826",constitution,"Argentina",1826,1,1826,1852,304,33,New,"Constitution","1826-12-24",,,,,6701,"constituent assembly (draft); provinces and capitol (approve)",,160,32,160,"Argentina","Argentine Nation","Argentina","Argentina",,"ARG",Latin_Caribbean,,1,07/1816,,,
"Argentina 1853-1965, event of 1853",constitution,"Argentina",1853,1,1853,1965,305,35,New,"Constitution","1853-05-01","1853-05-01","1853-05-01",1,,7244,"general constituent congress",,160,32,160,"Argentina","Argentine Nation","Argentina","Argentina",,"ARG",Latin_Caribbean,,1,07/1816,,,
"Argentina 1853-1965, event of 1949",constitution,"Argentina",1949,1,1853,1965,305,36,Amendment,"Constitution","1853-05-01",,,1,,9703,"general constituent congress",,160,32,160,"Argentina","Argentine Nation","Argentina","Argentina",,"ARG",Latin_Caribbean,,1,07/1816,,,
"Argentina 1853-1965, event of 1956",constitution,"Argentina",1956,1,1853,1965,305,37,Amendment,"Constitution","1853-05-01",,,1,,7365,"general constituent congress",,160,32,160,"Argentina","Argentine Nation","Argentina","Argentina",,"ARG",Latin_Caribbean,,1,07/1816,,,
"Argentina 1983-?, event of 1994",constitution,"Argentina",1994,1,1983,,306,38,Amendment,"Constitution","1853-05-01","1994-08-22",,1,,13051,"A National Constitutional Convention drafted and approved the constitution.",,160,32,160,"Argentina","Argentine Nation","Argentina","Argentina",,"ARG",Latin_Caribbean,,1,07/1816,,,
"Armenia 1995-?, event of 1995",constitution,"Armenia",1995,1,1995,,529,43,New,"Constitution","1995-05-13","1995-12-05","1995-07-05",,,8843,"A Constitutional Commission drafted the constitution before it was approved by 68% of voters in a popular referendum.",,371,51,371,"Armenia","Republic of Armenia","Armenia","Armenia",,"ARM",Eastern_Europe,,1,,,,
"Australia 1901-?, event of 1907",constitution,"Australia",1907,1,1901,,939,45,Amendment,"Constitution",,,,1,,12746,"The constitution was passed by the Imperial (British) Parliament and given royal assent by Queen Victoria.",,900,36,900,"Australia","Commonwealth of Australia","Australia","Australia",,"AUL",Oceania,,1,,,,
"Australia 1901-?, event of 1910",constitution,"Australia",1910,1,1901,,939,46,Amendment,"Constitution",,,,1,,12739,"The constitution was passed by the Imperial (British) Parliament and given royal assent by Queen Victoria.",,900,36,900,"Australia","Commonwealth of Australia","Australia","Australia",,"AUL",Oceania,,1,,,,
"Australia 1901-?, event of 1929",constitution,"Australia",1929,1,1901,,939,47,Amendment,"Constitution",,,,1,,12972,"The constitution was passed by the Imperial (British) Parliament and given royal assent by Queen Victoria.",,900,36,900,"Australia","Commonwealth of Australia","Australia","Australia",,"AUL",Oceania,,1,,,,
"Australia 1901-?, event of 1946",constitution,"Australia",1946,1,1901,,939,48,Amendment,"Constitution",,,,1,,14659,"The constitution was passed by the Imperial (British) Parliament and given royal assent by Queen Victoria.",,900,36,900,"Australia","Commonwealth of Australia","Australia","Australia",,"AUL",Oceania,,1,,,,
"Australia 1901-?, event of 1977",constitution,"Australia",1977,1,1901,,939,49,Amendment,"Constitution",,,,1,,14508,"The constitution was passed by the Imperial (British) Parliament and given royal assent by Queen Victoria.",,900,36,900,"Australia","Commonwealth of Australia","Australia","Australia",,"AUL",Oceania,,1,,,,
"Austria 1920-1933, event of 1920",constitution,"Austria",1920,1,1920,1933,415,53,New,"Constitution",,"1920-10-01",,1,,16905,"constitutional assembly (draft; approve)",,305,40,305,"Austria","Republic of Austria","Austria","Austria",,"AUS",WesternEurope_United_States_Canada,,1,,,,
"Austria 1920-1933, event of 1929",constitution,"Austria",1929,1,1920,1933,415,54,Amendment,"Constitution",,,,,,,"constitutional assembly (draft; approve)",,305,40,305,"Austria","Republic of Austria","Austria","Austria",,"AUS",WesternEurope_United_States_Canada,,1,,,,
"Austria 1934-1944, event of 1934",constitution,"Austria",1934,1,1934,1944,416,55,New,"Constitution",,,,,,24148,"not specified",,305,40,305,"Austria","Republic of Austria","Austria","Austria",,"AUS",WesternEurope_United_States_Canada,,1,,,,
"Austria 1945-?, event of 1945",constitution,"Austria",1945,1,1945,,417,56,Reinstated,"Constitution",,,"1920-10-11",,,,"A Constituent National Assembly drafted the constitution before it was enacted by the Austrian Parliament.",,305,40,305,"Austria","Republic of Austria","Austria","Austria",,"AUS",WesternEurope_United_States_Canada,,1,,,,
"Austria 1945-?, event of 1955",constitution,"Austria",1955,1,1945,,417,57,Amendment,"Constitution",,,,,,,"A Constituent National Assembly drafted the constitution before it was enacted by the Austrian Parliament.",,305,40,305,"Austria","Republic of Austria","Austria","Austria",,"AUS",WesternEurope_United_States_Canada,,1,,,,
"Austria 1945-?, event of 1964",constitution,"Austria",1964,1,1945,,417,58,Amendment,"Constitution",,,,,,,"A Constituent National Assembly drafted the constitution before it was enacted by the Austrian Parliament.",,305,40,305,"Austria","Republic of Austria","Austria","Austria",,"AUS",WesternEurope_United_States_Canada,,1,,,,
"Austria 1945-?, event of 2000",constitution,"Austria",2000,1,1945,,417,59,Amendment,"Constitution",,,,,,,"A Constituent National Assembly drafted the constitution before it was enacted by the Austrian Parliament.",,305,40,305,"Austria","Republic of Austria","Austria","Austria",,"AUS",WesternEurope_United_States_Canada,,1,,,,
"Austria 1945-?, event of 2002",constitution,"Austria",2002,1,1945,,417,60,Amendment,"Constitution",,,,,,,"A Constituent National Assembly drafted the constitution before it was enacted by the Austrian Parliament.",,305,40,305,"Austria","Republic of Austria","Austria","Austria",,"AUS",WesternEurope_United_States_Canada,,1,,,,
"Austria 1945-?, event of 2004",constitution,"Austria",2004,1,1945,,417,61,Amendment,"Constitution",,,,,,41366,"A Constituent National Assembly drafted the constitution before it was enacted by the Austrian Parliament.",,305,40,305,"Austria","Republic of Austria","Austria","Austria",,"AUS",WesternEurope_United_States_Canada,,1,,,,
"Azerbaijan 1991-1994, event of 1991",constitution,"Azerbaijan",1991,1,1991,1994,533,65,New,"","1991-10-18",,,1,,2472,"nationwide referendum in accordance with resolution of parliament",,373,31,373,"Azerbaijan","Azerbaijan Republic","Azerbaijan","Azerbaijan",,"AZE",Eastern_Europe,,1,,,,
"Azerbaijan 1995-?, event of 1995",constitution,"Azerbaijan",1995,1,1995,,534,66,New,"Constitution",,"1995-11-12","1995-12-27",,,15400,"The constitution was drafted by a Constitutional Commission and approved by the Supreme Soviet. It was ratified by 91.9% of voters in a popular referendum.",,373,31,373,"Azerbaijan","Azerbaijan Republic","Azerbaijan","Azerbaijan",,"AZE",Eastern_Europe,,1,,,,
